county,rep_unit,total,rep,dem,year,office
BARRON,VILLAGE OF CAMERON WARDS 1-3,757,388,363,2012,president
BARRON,VILLAGE OF DALLAS WARD 1,194,105,83,2012,president
BARRON,VILLAGE OF HAUGEN WARD 1,149,65,80,2012,president
BARRON,VILLAGE OF NEW AUBURN WARD 2,7,6,1,2012,president
BARRON,VILLAGE OF NEW AUBURN WARD 3,2,1,1,2012,president
BARRON,VILLAGE OF PRAIRIE FARM WARD 1,182,77,103,2012,president
BARRON,VILLAGE OF TURTLE LAKE WARD 1,402,181,213,2012,president
BARRON,CITY OF BARRON WARDS 1-7,1380,648,713,2012,president
BARRON,CITY OF CHETEK WARDS 1 - 4,970,471,482,2012,president
BARRON,CITY OF CUMBERLAND WARDS 1 - 4,1050,439,598,2012,president
BARRON,CITY OF RICE LAKE WARDS 1-13,4051,1854,2091,2012,president
BAYFIELD,TOWN OF BARKSDALE WARD 1,482,198,272,2012,president
BAYFIELD,TOWN OF BARNES WARD 1,567,253,306,2012,president
BAYFIELD,TOWN OF BAYFIELD WARD 1,534,150,372,2012,president
BAYFIELD,TOWN OF BAYVIEW WARD 1,368,138,229,2012,president
BAYFIELD,TOWN OF BELL WARD 1,226,82,138,2012,president
BAYFIELD,TOWN OF CABLE WARD 1,528,270,256,2012,president
BAYFIELD,TOWN OF CLOVER WARD 1,179,70,104,2012,president
BAYFIELD,TOWN OF DELTA WARD 1,208,108,100,2012,president
BAYFIELD,TOWN OF DRUMMOND WARD 1,327,139,182,2012,president
BAYFIELD,TOWN OF EILEEN WARDS 1-2,420,170,245,2012,president
BAYFIELD,TOWN OF GRAND VIEW WARD 1,295,111,178,2012,president
BAYFIELD,TOWN OF HUGHES WARD 1,299,127,168,2012,president
BAYFIELD,TOWN OF IRON RIVER WARDS 1-2,738,308,418,2012,president
BAYFIELD,TOWN OF KELLY WARD 1,251,107,141,2012,president
BAYFIELD,TOWN OF KEYSTONE WARD 1,212,87,121,2012,president
BAYFIELD,TOWN OF LINCOLN WARD 1,181,77,101,2012,president
BAYFIELD,TOWN OF MASON WARD 1,179,84,94,2012,president
BAYFIELD,TOWN OF NAMAKAGON WARD 1,223,123,97,2012,president
BAYFIELD,TOWN OF ORIENTA WARD 1,86,37,42,2012,president
BAYFIELD,TOWN OF OULU WARD 1,332,151,177,2012,president
BAYFIELD,TOWN OF PILSEN WARD 1,146,52,92,2012,president
BAYFIELD,TOWN OF PORT WING WARD 1,274,99,173,2012,president
BAYFIELD,TOWN OF RUSSELL WARDS 1 - 2,638,72,553,2012,president
BAYFIELD,TOWN OF TRIPP WARD 1,144,73,67,2012,president
BAYFIELD,TOWN OF WASHBURN WARD 1,362,121,237,2012,president
BAYFIELD,VILLAGE OF MASON WARD 1,50,16,32,2012,president
BAYFIELD,CITY OF ASHLAND WARD 12,0,0,0,2012,president
BAYFIELD,CITY OF BAYFIELD WARDS 1-4,354,90,260,2012,president
BAYFIELD,CITY OF WASHBURN WARDS 1 - 4,1185,290,878,2012,president
BROWN,TOWN OF EATON WARDS 1-2,906,483,409,2012,president
BROWN,TOWN OF GLENMORE WARDS 1 - 2,637,377,255,2012,president
BROWN,TOWN OF GREEN BAY WARDS 1 - 3,1169,704,454,2012,president
BROWN,TOWN OF HOLLAND WARDS 1 - 2,900,554,331,2012,president
BROWN,TOWN OF HUMBOLDT WARDS 1 - 2,756,421,326,2012,president
BROWN,TOWN OF LAWRENCE WARDS 1 - 6,2708,1665,1016,2012,president
BROWN,"TOWN OF LEDGEVIEW WARDS 1-3, 8-10",2127,1322,789,2012,president
BROWN,TOWN OF LEDGEVIEW WARDS 4-7,1917,1206,699,2012,president
BROWN,TOWN OF MORRISON WARDS 1-2,900,624,269,2012,president
BROWN,TOWN OF NEW DENMARK WARDS 1 - 3,916,501,408,2012,president
BROWN,TOWN OF PITTSFIELD WARDS 1 - 3,1631,996,617,2012,president
BROWN,TOWN OF ROCKLAND WARDS 1 - 3,1057,684,366,2012,president
BROWN,TOWN OF SCOTT WARDS 1-4,2255,1213,1019,2012,president
BROWN,TOWN OF WRIGHTSTOWN WARDS 1 - 3,1214,731,464,2012,president
BROWN,VILLAGE OF ALLOUEZ WARDS 1 - 2,2059,856,1186,2012,president
BROWN,VILLAGE OF ALLOUEZ WARDS 3 - 4,1816,856,940,2012,president
BROWN,VILLAGE OF ALLOUEZ WARDS 5 - 6,2358,1295,1037,2012,president
BROWN,VILLAGE OF ALLOUEZ WARDS 7 - 9,1903,973,907,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 1&2,1276,567,690,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 3&4,1374,654,697,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 5&6,1579,795,764,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 7&8,1817,996,794,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 9&10,2015,1203,796,2012,president
BROWN,VILLAGE OF ASHWAUBENON WD 11&12,1461,685,754,2012,president
BROWN,VILLAGE OF BELLEVUE WARDS 1-6,3728,1842,1852,2012,president
BROWN,VILLAGE OF BELLEVUE WARDS 7-10,4005,2208,1772,2012,president
BROWN,VILLAGE OF DENMARK WARDS 1 - 3,1062,528,521,2012,president
BROWN,VILLAGE OF HOBART WARDS 1-8,4040,2388,1611,2012,president
BROWN,VILLAGE OF HOBART WARD 9,0,0,0,2012,president
BROWN,VILLAGE OF HOWARD WARDS 1 & 12,1062,579,468,2012,president
BROWN,"VILLAGE OF HOWARD WARDS 2, 8 & 11",2451,1421,1003,2012,president
BROWN,"VILLAGE OF HOWARD WARD 3, 4 & 6",1397,631,746,2012,president
BROWN,VILLAGE OF HOWARD WARD 5,396,198,190,2012,president
BROWN,VILLAGE OF HOWARD WARD 7,510,306,200,2012,president
BROWN,"VILLAGE OF HOWARD WARD 9, 10 & 18",1819,1015,785,2012,president
BROWN,VILLAGE OF HOWARD WARD 13&14,1034,581,446,2012,president
BROWN,VILLAGE OF HOWARD WARD 15&16,1253,744,492,2012,president
BROWN,VILLAGE OF PULASKI WARDS 1-3 & 6,1559,786,738,2012,president
BROWN,VILLAGE OF SUAMICO WARD 1-4,3224,2073,1125,2012,president
BROWN,VILLAGE OF SUAMICO WARD 5-8,3627,2253,1357,2012,president
BROWN,VILLAGE OF WRIGHTSTOWN WARDS 1-2-3,1333,760,557,2012,president
BROWN,CITY OF DE PERE WARDS 1-4,3609,1846,1729,2012,president
BROWN,CITY OF DE PERE WARD 5,233,117,116,2012,president
BROWN,CITY OF DE PERE WARDS 6-8,2590,1255,1308,2012,president
BROWN,CITY OF DE PERE WARD 9 & 18,487,257,224,2012,president
BROWN,CITY OF DE PERE WARDS 10-12,3036,1462,1530,2012,president
BROWN,CITY OF DE PERE WARDS 13-15,3180,1735,1403,2012,president
BROWN,CITY OF DE PERE WARDS 16-17,8,3,5,2012,president
BROWN,CITY OF GREEN BAY WARD 1,13,10,3,2012,president
BROWN,CITY OF GREEN BAY WARD 2,1206,640,550,2012,president
BROWN,CITY OF GREEN BAY WARD 3,1821,748,1037,2012,president
BROWN,CITY OF GREEN BAY WARD 4,1753,919,816,2012,president
BROWN,CITY OF GREEN BAY WARD 5,796,404,389,2012,president
BROWN,CITY OF GREEN BAY WARD 6,1708,944,750,2012,president
BROWN,CITY OF GREEN BAY WARD 7,930,456,462,2012,president
BROWN,CITY OF GREEN BAY WARD 8,1644,830,797,2012,president
BROWN,CITY OF GREEN BAY WARD 9,660,232,419,2012,president
BROWN,CITY OF GREEN BAY WARD 10,716,249,452,2012,president
BROWN,CITY OF GREEN BAY WARD 11,750,354,387,2012,president
BROWN,CITY OF GREEN BAY WARD 12,744,242,488,2012,president
BROWN,CITY OF GREEN BAY WARD 13,743,218,504,2012,president
BROWN,CITY OF GREEN BAY WARD 14,760,296,455,2012,president
BROWN,CITY OF GREEN BAY WARD 15,1197,444,725,2012,president
BROWN,CITY OF GREEN BAY WARD 16,993,320,649,2012,president
BROWN,CITY OF GREEN BAY WARD 17,892,322,562,2012,president
BROWN,CITY OF GREEN BAY WARD 18,930,398,518,2012,president
BROWN,CITY OF GREEN BAY WARD 19,682,252,417,2012,president
BROWN,CITY OF GREEN BAY WARD 20,806,257,529,2012,president
BROWN,CITY OF GREEN BAY WARD 21,692,193,489,2012,president
BROWN,CITY OF GREEN BAY WARD 22,345,116,223,2012,president
BROWN,CITY OF GREEN BAY WARD 23,743,283,454,2012,president
BROWN,CITY OF GREEN BAY WARD 24,933,307,615,2012,president
BROWN,CITY OF GREEN BAY WARD 25,862,295,553,2012,president
BROWN,CITY OF GREEN BAY WARD 26,793,217,557,2012,president
BROWN,CITY OF GREEN BAY WARD 27,384,76,303,2012,president
BROWN,CITY OF GREEN BAY WARD 28,899,259,617,2012,president
BROWN,CITY OF GREEN BAY WARD 29,1172,457,694,2012,president
BROWN,CITY OF GREEN BAY WARD 30,1076,264,792,2012,president
BROWN,CITY OF GREEN BAY WARD 31,1156,425,708,2012,president
BROWN,CITY OF GREEN BAY WARD 32,986,361,605,2012,president
BROWN,CITY OF GREEN BAY WARD 33,627,252,371,2012,president
BROWN,CITY OF GREEN BAY WARD 34,1247,509,719,2012,president
BROWN,CITY OF GREEN BAY WARD 35,879,437,434,2012,president
BROWN,CITY OF GREEN BAY WARD 36,597,204,386,2012,president
BROWN,CITY OF GREEN BAY WARD 37,942,390,547,2012,president
BROWN,CITY OF GREEN BAY WARD 38,1206,510,674,2012,president
BROWN,CITY OF GREEN BAY WARD 39,1378,557,805,2012,president
BROWN,CITY OF GREEN BAY WARD 40,913,377,515,2012,president
BROWN,CITY OF GREEN BAY WARD 41,465,239,218,2012,president
BROWN,CITY OF GREEN BAY WARD 42,765,295,458,2012,president
BROWN,CITY OF GREEN BAY WARD 43,1259,573,672,2012,president
BROWN,CITY OF GREEN BAY WARD 44,1656,778,849,2012,president
BROWN,CITY OF GREEN BAY WARD 45,1895,1173,707,2012,president
BROWN,CITY OF GREEN BAY WARD 46,1398,562,818,2012,president
BROWN,CITY OF GREEN BAY WARD 47,1522,843,669,2012,president
BUFFALO,TOWN OF ALMA WARD 1,182,82,97,2012,president
BUFFALO,TOWN OF BELVIDERE WARD 1,251,131,118,2012,president
BUFFALO,TOWN OF BUFFALO WARD 1,406,190,207,2012,president
BUFFALO,TOWN OF CANTON WARD 1,140,63,76,2012,president
BUFFALO,TOWN OF CROSS WARD 1,208,106,101,2012,president
BUFFALO,TOWN OF DOVER WARD 1,240,111,124,2012,president
BUFFALO,TOWN OF GILMANTON WARD 1,227,89,136,2012,president
BUFFALO,TOWN OF GLENCOE WARD 1,236,128,107,2012,president
BUFFALO,TOWN OF LINCOLN WARD 1,111,61,49,2012,president
BUFFALO,TOWN OF MAXVILLE WARD 1,164,102,61,2012,president
BUFFALO,TOWN OF MILTON WARD 1,307,131,172,2012,president
BUFFALO,TOWN OF MODENA WARD 1,177,86,89,2012,president
BUFFALO,TOWN OF MONDOVI WARD 1,265,131,131,2012,president
BUFFALO,TOWN OF MONTANA WARD 1,150,79,67,2012,president
BUFFALO,TOWN OF NAPLES WARD 1,365,203,154,2012,president
BUFFALO,TOWN OF NELSON WARD 1,310,172,136,2012,president
BUFFALO,TOWN OF WAUMANDEE WARD 1,273,157,111,2012,president
BUFFALO,VILLAGE OF COCHRANE WARD 1,223,100,119,2012,president
BUFFALO,VILLAGE OF NELSON WARD 1,164,62,96,2012,president
BUFFALO,CITY OF ALMA WARDS 1 - 2,450,210,234,2012,president
BUFFALO,CITY OF BUFFALO CITY WARD 1,563,261,293,2012,president
BUFFALO,CITY OF FOUNTAIN CITY WARD 1 & 2,472,200,261,2012,president
BUFFALO,CITY OF MONDOVI WARDS 1-3,1155,509,631,2012,president
BURNETT,TOWN OF ANDERSON WARD 1,211,126,83,2012,president
BURNETT,TOWN OF BLAINE WARD 1,119,56,58,2012,president
BURNETT,TOWN OF DANIELS WARD 1,379,227,141,2012,president
BURNETT,TOWN OF DEWEY WARD 1,262,136,122,2012,president
BURNETT,TOWN OF GRANTSBURG WARDS 1-3,552,316,226,2012,president
BURNETT,TOWN OF JACKSON WARD 1,570,284,279,2012,president
BURNETT,TOWN OF LA FOLLETTE WARDS 1-2,302,149,149,2012,president
BURNETT,TOWN OF LINCOLN WARD 1,159,75,78,2012,president
BURNETT,TOWN OF MEENON WARDS 1-3,544,289,251,2012,president
BURNETT,TOWN OF OAKLAND WARDS 1-2,547,246,292,2012,president
BURNETT,TOWN OF ROOSEVELT WARD 1,124,62,58,2012,president
BURNETT,TOWN OF RUSK WARD 1,243,118,116,2012,president
BURNETT,TOWN OF SAND LAKE WARD 1,286,111,167,2012,president
BURNETT,TOWN OF SCOTT WARD 1-2,413,241,168,2012,president
BURNETT,TOWN OF SIREN WARDS 1-2,499,259,233,2012,president
BURNETT,TOWN OF SWISS WARDS 1-2,414,151,255,2012,president
BURNETT,TOWN OF TRADE LAKE WARDS 1-2,521,310,197,2012,president
BURNETT,TOWN OF UNION WARD 1,194,101,90,2012,president
BURNETT,TOWN OF WEBB LAKE WARD 1,280,145,133,2012,president
BURNETT,TOWN OF WEST MARSHLAND WARDS 1-2,188,118,69,2012,president
BURNETT,TOWN OF WOOD RIVER WARDS 1-3,526,352,168,2012,president
BURNETT,VILLAGE OF GRANTSBURG WARDS 1- 3,663,372,284,2012,president
BURNETT,VILLAGE OF SIREN WARDS 1 & 2,355,170,182,2012,president
BURNETT,VILLAGE OF WEBSTER WARDS 1-2,326,136,187,2012,president
CALUMET,"TOWN OF BRILLION WARDS 1,2",815,520,287,2012,president
CALUMET,TOWN OF BROTHERTOWN WARD 1-2,764,511,246,2012,president
CALUMET,TOWN OF CHARLESTOWN WARD 1,466,278,184,2012,president
CALUMET,"TOWN OF CHILTON WARDS 1, 2, 3",627,414,203,2012,president
CALUMET,TOWN OF HARRISON WARDS 1-4,1700,936,736,2012,president
CALUMET,TOWN OF HARRISON WARDS 5-6,1191,680,492,2012,president
CALUMET,TOWN OF HARRISON WARDS 7-9,1736,1035,680,2012,president
CALUMET,TOWN OF HARRISON WARDS 10-12,1262,731,519,2012,president
CALUMET,"TOWN OF NEW HOLSTEIN WARD 1, 2, 3",813,487,312,2012,president
CALUMET,TOWN OF RANTOUL WARD 1,434,276,151,2012,president
CALUMET,TOWN OF STOCKBRIDGE WARDS 1-3,902,535,345,2012,president
CALUMET,TOWN OF WOODVILLE WARD 1,521,332,179,2012,president
CALUMET,VILLAGE OF HILBERT WARDS 1 & 2,573,361,207,2012,president
CALUMET,VILLAGE OF POTTER WARD 1,138,85,47,2012,president
CALUMET,VILLAGE OF SHERWOOD WARDS 1 - 4,1704,1021,664,2012,president
CALUMET,VILLAGE OF STOCKBRIDGE WARD 1,382,214,156,2012,president
CALUMET,CITY OF APPLETON WARD 12,155,68,86,2012,president
CALUMET,CITY OF APPLETON WARD 13,1025,418,599,2012,president
CALUMET,CITY OF APPLETON WARD 14,783,405,364,2012,president
CALUMET,CITY OF APPLETON WARD 26,1207,548,636,2012,president
CALUMET,CITY OF APPLETON WARD 44,1158,502,628,2012,president
CALUMET,CITY OF APPLETON WARD 45,1321,710,595,2012,president
CALUMET,CITY OF APPLETON WARD 46,98,58,40,2012,president
CALUMET,CITY OF APPLETON WARD 47,0,0,0,2012,president
CALUMET,CITY OF BRILLION WARDS 1-4,1557,835,701,2012,president
CALUMET,CITY OF CHILTON WARD 1-5,1862,952,876,2012,president
CALUMET,CITY OF KAUKAUNA WARD 11,0,0,0,2012,president
CALUMET,CITY OF KIEL WARD 7,152,75,76,2012,president
CALUMET,CITY OF MENASHA WARDS 16 - 20,1335,694,627,2012,president
CALUMET,CITY OF NEW HOLSTEIN WARDS 1-5,1739,858,853,2012,president
CHIPPEWA,TOWN OF ANSON WARDS 1-3,1218,687,515,2012,president
CHIPPEWA,TOWN OF ANSON WARD 4,0,0,0,2012,president
CHIPPEWA,TOWN OF ARTHUR WARD 1,385,216,166,2012,president
CHIPPEWA,TOWN OF AUBURN WARD 1,362,178,169,2012,president
CHIPPEWA,TOWN OF BIRCH CREEK WARD 1,303,192,110,2012,president
CHIPPEWA,TOWN OF BLOOMER WARDS 1 - 2,541,326,208,2012,president
CHIPPEWA,TOWN OF CLEVELAND WARD 1,411,241,168,2012,president
CHIPPEWA,TOWN OF COLBURN WARD 1,406,241,164,2012,president
CHIPPEWA,TOWN OF COOKS VALLEY WARD 1,389,234,152,2012,president
CHIPPEWA,TOWN OF DELMAR WARD 1,450,257,185,2012,president
CHIPPEWA,TOWN OF EAGLE POINT WARDS 1 - 5 & 5S,1848,1032,798,2012,president
CHIPPEWA,TOWN OF EDSON WARDS 1 - 2 & 2 S,423,196,223,2012,president
CHIPPEWA,TOWN OF ESTELLA WARD 1,212,115,95,2012,president
CHIPPEWA,TOWN OF GOETZ WARDS 1-2,392,174,214,2012,president
CHIPPEWA,TOWN OF GOETZ WARD 3,0,0,0,2012,president
CHIPPEWA,TOWN OF HALLIE WARD 1,100,45,54,2012,president
CHIPPEWA,TOWN OF HOWARD WARD 1,410,194,211,2012,president
CHIPPEWA,TOWN OF LAFAYETTE WARDS 1 - 9,3382,1701,1642,2012,president
CHIPPEWA,TOWN OF LAKE HOLCOMBE WARDS 1 - 2,565,310,254,2012,president
CHIPPEWA,TOWN OF RUBY WARD 1,218,105,111,2012,president
CHIPPEWA,TOWN OF SAMPSON WARD 1,472,281,183,2012,president
CHIPPEWA,TOWN OF SIGEL WARDS 1 - 2,501,225,266,2012,president
CHIPPEWA,TOWN OF TILDEN WARDS 1 - 3,846,461,370,2012,president
CHIPPEWA,TOWN OF WHEATON WARDS 1 - 3,1599,813,764,2012,president
CHIPPEWA,TOWN OF WOODMOHR WARDS 1 - 2,523,287,228,2012,president
CHIPPEWA,VILLAGE OF BOYD WARD 1,285,127,154,2012,president
CHIPPEWA,VILLAGE OF CADOTT WARDS 1 - 2,627,273,351,2012,president
CHIPPEWA,VILLAGE OF LAKE HALLIE WARDS 1 - 8,3305,1547,1718,2012,president
CHIPPEWA,VILLAGE OF NEW AUBURN WARD 1,220,121,95,2012,president
CHIPPEWA,CITY OF BLOOMER WARDS 1 - 4,1760,942,802,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 1,896,348,530,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 2,944,451,483,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 3,1119,510,599,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 4,809,334,459,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 5,791,304,477,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 6,867,345,513,2012,president
CHIPPEWA,CITY OF CHIPPEWA FALLS WARD 7,846,373,469,2012,president
CHIPPEWA,CITY OF CORNELL WARDS 1-4,657,327,323,2012,president
CHIPPEWA,CITY OF EAU CLAIRE WARD 16,880,351,516,2012,president
CHIPPEWA,CITY OF EAU CLAIRE WARD 40,0,0,0,2012,president
CHIPPEWA,CITY OF EAU CLAIRE WARD 41,35,13,21,2012,president
CHIPPEWA,"CITY OF STANLEY WARDS 1 - 4, 6 - 7",935,445,477,2012,president
CLARK,TOWN OF BEAVER WARD 1,258,155,102,2012,president
CLARK,TOWN OF BUTLER WARD 1,47,26,21,2012,president
CLARK,"TOWN OF COLBY WARDS 1, 2 & 3",273,164,104,2012,president
CLARK,TOWN OF DEWHURST WARD 1,182,103,78,2012,president
CLARK,TOWN OF EATON WARD 1 & 2,230,140,81,2012,president
CLARK,TOWN OF FOSTER WARD 1,74,38,35,2012,president
CLARK,TOWN OF FREMONT WARD 1 & 2,491,320,165,2012,president
CLARK,TOWN OF GRANT WARD 1 & 2,384,197,176,2012,president
CLARK,TOWN OF GREEN GROVE WARD 1 & 2,222,115,104,2012,president
CLARK,TOWN OF HENDREN WARD 1,218,114,98,2012,president
CLARK,TOWN OF HEWETT WARD 1 & 2,166,74,88,2012,president
CLARK,TOWN OF HIXON WARD 1 & 2,220,104,114,2012,president
CLARK,TOWN OF HOARD WARD 1 & 2,229,139,89,2012,president
CLARK,TOWN OF LEVIS WARD 1 & 2,243,132,109,2012,president
CLARK,TOWN OF LONGWOOD WARD 1 & 2,228,123,97,2012,president
CLARK,TOWN OF LOYAL WARD 1 & 2,265,160,103,2012,president
CLARK,TOWN OF LYNN WARD 1 & 2,265,150,107,2012,president
CLARK,TOWN OF MAYVILLE WARD 1 & 2,349,212,133,2012,president
CLARK,TOWN OF MEAD WARD 1,143,64,77,2012,president
CLARK,TOWN OF MENTOR WARD 1,248,124,115,2012,president
CLARK,TOWN OF PINE VALLEY WARD 1 & 2,618,327,284,2012,president
CLARK,TOWN OF RESEBURG WARD 1 & 2,185,77,106,2012,president
CLARK,TOWN OF SEIF WARD 1,101,51,46,2012,president
CLARK,TOWN OF SHERMAN WARD 1 & 2,351,205,141,2012,president
CLARK,TOWN OF SHERWOOD WARD 1,148,62,81,2012,president
CLARK,TOWN OF THORP WARD 1,288,131,155,2012,president
CLARK,TOWN OF UNITY WARD 1,315,184,120,2012,president
CLARK,TOWN OF WARNER WARD 1 & 2,257,146,111,2012,president
CLARK,TOWN OF WASHBURN WARD 1,144,84,57,2012,president
CLARK,TOWN OF WESTON WARD 1 & 2,310,161,145,2012,president
CLARK,TOWN OF WITHEE WARD 1,301,169,125,2012,president
CLARK,TOWN OF WORDEN WARD 1,239,136,102,2012,president
CLARK,TOWN OF YORK WARD 1 & 2,376,191,177,2012,president
CLARK,VILLAGE OF CURTISS WARD 1,54,33,20,2012,president
CLARK,VILLAGE OF DORCHESTER WARD 1,292,176,112,2012,president
CLARK,VILLAGE OF GRANTON WARD 1,168,82,83,2012,president
CLARK,VILLAGE OF UNITY WARD 2,65,40,23,2012,president
CLARK,VILLAGE OF WITHEE WARD 1,220,107,111,2012,president
CLARK,CITY OF ABBOTSFORD WARDS 2-5,671,386,278,2012,president
CLARK,CITY OF COLBY WARDS 2-4,539,310,223,2012,president
CLARK,CITY OF GREENWOOD WARD 1 & 2,487,238,241,2012,president
CLARK,CITY OF LOYAL WARD 1 & 2,607,355,247,2012,president
CLARK,CITY OF NEILLSVILLE WARD 1,213,106,106,2012,president
CLARK,CITY OF NEILLSVILLE WARD 2,301,156,142,2012,president
CLARK,CITY OF NEILLSVILLE WARD 3,311,137,169,2012,president
CLARK,CITY OF NEILLSVILLE WARD 4,185,93,86,2012,president
